District,Date,Confirmed,Recovered,Active,Death
KASARGOD,03 February 2020,1,0,1,0
KASARGOD,16 February 2020,0,1,0,0
KASARGOD,16 March 2020,1,0,1,0
KASARGOD,19 March 2020,1,0,2,0
KASARGOD,20 March 2020,6,0,8,0
KASARGOD,21 March 2020,6,0,14,0
KASARGOD,22 March 2020,5,0,19,0
KASARGOD,23 March 2020,19,0,38,0
KASARGOD,24 March 2020,6,0,44,0
KASARGOD,26 March 2020,3,0,47,0
KASARGOD,27 March 2020,34,0,81,0
KASARGOD,28 March 2020,1,0,82,0
KASARGOD,29 March 2020,7,0,89,0
KASARGOD,30 March 2020,17,0,106,0
KASARGOD,31 March 2020,2,0,108,0
KASARGOD,01 April 2020,12,0,120,0
KASARGOD,02 April 2020,8,0,128,0
KASARGOD,03 April 2020,7,4,131,0
KASARGOD,04 April 2020,6,0,137,0
KASARGOD,05 April 2020,1,0,138,0
KASARGOD,06 April 2020,9,0,147,0
KASARGOD,07 April 2020,4,1,150,0
KASARGOD,08 April 2020,1,0,151,0
KASARGOD,09 April 2020,4,0,155,0
KASARGOD,10 April 2020,3,18,140,0
KASARGOD,11 April 2020,2,9,133,0
KASARGOD,12 April 2020,0,28,105,0
KASARGOD,13 April 2020,0,12,93,0
KASARGOD,14 April 2020,1,6,88,0
KASARGOD,15 April 2020,0,4,84,0
KASARGOD,16 April 2020,1,24,61,0
KASARGOD,17 April 2020,0,6,55,0
KASARGOD,18 April 2020,0,2,53,0
KASARGOD,19 April 2020,1,8,46,0
KASARGOD,20 April 2020,0,19,27,0
KASARGOD,21 April 2020,3,4,26,0
KASARGOD,23 April 2020,0,6,20,0
KASARGOD,24 April 2020,3,5,18,0
KASARGOD,25 April 2020,0,2,16,0
KASARGOD,26 April 2020,0,1,15,0
KASARGOD,28 April 2020,1,2,14,0
KASARGOD,29 April 2020,1,3,12,0
KASARGOD,30 April 2020,1,2,11,0
KASARGOD,01 May 2020,0,4,7,0
KASARGOD,03 May 2020,0,1,6,0
KASARGOD,04 May 2020,0,3,3,0
KASARGOD,07 May 2020,0,2,1,0
KASARGOD,10 May 2020,0,1,0,0
KASARGOD,11 May 2020,4,0,4,0
KASARGOD,14 May 2020,10,0,14,0
KASARGOD,15 May 2020,1,0,15,0
KASARGOD,17 May 2020,1,0,16,0
KASARGOD,18 May 2020,2,0,18,0
KASARGOD,20 May 2020,1,1,18,0
KASARGOD,21 May 2020,1,0,19,0
KASARGOD,22 May 2020,7,0,26,0
KASARGOD,23 May 2020,4,1,29,0
KASARGOD,24 May 2020,5,2,32,0
KASARGOD,25 May 2020,14,6,40,0
KASARGOD,26 May 2020,3,2,41,0
KASARGOD,27 May 2020,10,2,49,0
KASARGOD,28 May 2020,18,0,67,0
KASARGOD,29 May 2020,4,1,70,0
KASARGOD,30 May 2020,3,0,73,0
KASARGOD,31 May 2020,10,1,82,0
KASARGOD,01 June 2020,14,0,96,0
KASARGOD,02 June 2020,9,7,98,0
KASARGOD,03 June 2020,3,4,97,0
KASARGOD,04 June 2020,12,0,109,0
KASARGOD,05 June 2020,1,7,103,0
KASARGOD,06 June 2020,10,1,112,0
KASARGOD,07 June 2020,3,6,109,0
KASARGOD,08 June 2020,8,7,110,0
KASARGOD,09 June 2020,2,0,112,0
KASARGOD,10 June 2020,0,11,101,0
KASARGOD,11 June 2020,10,5,106,0
KASARGOD,12 June 2020,4,2,108,0
KASARGOD,13 June 2020,9,6,111,0
KASARGOD,14 June 2020,6,1,116,0
KASARGOD,15 June 2020,3,4,115,0
KASARGOD,16 June 2020,2,8,109,0
KASARGOD,17 June 2020,9,0,118,0
KASARGOD,18 June 2020,3,11,110,0
KASARGOD,19 June 2020,4,4,110,0
KASARGOD,20 June 2020,7,2,115,0
KASARGOD,21 June 2020,6,2,119,0
KASARGOD,22 June 2020,9,9,119,0
KASARGOD,24 June 2020,6,0,125,0
KASARGOD,25 June 2020,4,8,121,0
KASARGOD,26 June 2020,2,1,122,0
KASARGOD,27 June 2020,11,5,128,0
KASARGOD,28 June 2020,6,5,129,0
KASARGOD,29 June 2020,4,2,131,0
KASARGOD,30 June 2020,8,4,135,0
KASARGOD,01 July 2020,10,17,128,0
KASARGOD,02 July 2020,5,31,102,0
KASARGOD,03 July 2020,7,12,97,0
KASARGOD,04 July 2020,14,6,105,0
KASARGOD,05 July 2020,28,0,133,0
KASARGOD,06 July 2020,6,12,127,0
KASARGOD,07 July 2020,13,0,140,0
KASARGOD,08 July 2020,4,7,137,0
KASARGOD,09 July 2020,11,14,134,0
KASARGOD,10 July 2020,17,3,148,0
KASARGOD,11 July 2020,18,0,166,0
KASARGOD,12 July 2020,56,8,214,0
KASARGOD,13 July 2020,9,6,217,0
KASARGOD,14 July 2020,44,5,256,0
KASARGOD,15 July 2020,74,21,309,0
KASARGOD,16 July 2020,18,23,304,0
KASARGOD,17 July 2020,32,9,327,0
KASARGOD,18 July 2020,29,9,347,0
KASARGOD,19 July 2020,57,12,391,1
KASARGOD,20 July 2020,28,10,409,0
KASARGOD,21 July 2020,40,6,443,0
KASARGOD,22 July 2020,101,43,501,0
KASARGOD,23 July 2020,47,36,512,0
KASARGOD,24 July 2020,106,68,548,2
KASARGOD,25 July 2020,105,23,629,1
KASARGOD,26 July 2020,107,34,702,0
KASARGOD,27 July 2020,38,53,687,0
KASARGOD,28 July 2020,38,36,688,1
KASARGOD,29 July 2020,49,36,701,0
KASARGOD,30 July 2020,28,4,725,0
KASARGOD,31 July 2020,52,129,647,0
KASARGOD,01 August 2020,153,28,770,1
KASARGOD,02 August 2020,113,30,853,0
KASARGOD,03 August 2020,66,50,869,0
KASARGOD,04 August 2020,91,25,935,0
KASARGOD,05 August 2020,128,105,957,1
KASARGOD,06 August 2020,153,61,1047,2
KASARGOD,07 August 2020,168,123,1092,0
KASARGOD,08 August 2020,73,33,1131,1
KASARGOD,09 August 2020,56,115,1071,1
KASARGOD,10 August 2020,146,11,1205,1
KASARGOD,11 August 2020,147,266,1086,0
